Gene.symbol	Gene.ID	adj.P.Val	logFC
EREG	2069	4.38228357600148e-22	3.71940080327924
TMEM30B	161291	5.27848875289041e-22	-2.03691772551647
CCDC189	90835	5.42167666579927e-22	2.46103300761436
ZNF862	643641	5.69240600853463e-22	-1.73566726826355
SCCPDH	51097	6.09830508007991e-22	2.83227170464907
TRBC1	28639	6.99171891727339e-22	-2.60352326730584
ACVR1C	130399	7.67253194948282e-22	-2.6185076180374
CAT	847	7.70032462139523e-22	2.97784957060394
GPRASP1	9737	1.21533512009714e-21	-3.13182661658272
PPP2R2B	5521	1.23633684169502e-21	-2.1683174449266
TKT	7086	1.49256778187684e-21	2.04812519676307
ST8SIA1	6489	1.58519270014995e-21	-2.77159144578139
RP2	6102	1.58519270014995e-21	1.95831018036651
VIPR1	7433	1.69462046312916e-21	-1.93457487433963
IL2RB	3560	1.86728923518054e-21	-3.34739617661605
ETS2	2114	2.0754061615955e-21	3.50587909928261
CCSER2	54462	2.0754061615955e-21	-2.31264170107521
CSF2RA	1438	2.59189437879855e-21	3.34283222132592
PRR11	55771	2.92754126980736e-21	3.03364861014904
CATSPERB	79820	3.03220735888053e-21	-1.52015288459815
SORCS3	22986	4.4433781018646e-21	-1.47621580639742
GIMAP1-GIMAP5///GIMAP5	100527949///55340	4.87538332574483e-21	-4.77918384388917
GLUL	2752	6.11685732370166e-21	2.76972200870538
CSF3R	1441	6.17562011395541e-21	4.69137074270222
DUSP16	80824	6.36571399942375e-21	-2.91427949989621
PTGS2	5743	6.36571399942375e-21	3.66811139132717
REPS2	9185	6.55142124779271e-21	2.06811218387643
CACNA1I	8911	6.69388719652208e-21	-1.72497800131481
CLEC7A	64581	7.33281797047679e-21	2.88325376998985
GZMH	2999	8.2822285338486e-21	-2.20497537476528
HIST2H3D///HIST2H3A///HIST2H3C	653604///333932///126961	1.08068400840804e-20	2.69012945811456
RASGRP4	115727	1.08068400840804e-20	2.3114969868634
TC2N	123036	1.09344372786879e-20	-5.43875803349048
SYK	6850	1.11834483228547e-20	4.39782387049491
NREP	9315	1.15613711257547e-20	3.67182483562344
GLUL	2752	1.19396107384991e-20	2.71770417749398
IL18	3606	1.56655503862796e-20	4.57750022192996
FCRL6	343413	1.6310166243796e-20	-3.22247202416344
ECRP///ECRP	643332///643332	1.66166790233869e-20	5.34451785721152
SLC7A6	9057	1.80951614112858e-20	-1.8861885905551
P2RY13	53829	1.80951614112858e-20	3.34925586651495
TP53I3	9540	1.92127825340117e-20	2.30876866266628
LBH	81606	2.15967339457185e-20	-3.43168749947509
PATL2	197135	2.27687872629492e-20	-2.31344129031071
KLRC1	3821	2.42154807143673e-20	-2.090246718159
BTBD3	22903	2.57779573503207e-20	3.39863780261424
GZMK	3003	2.71087104365969e-20	-4.7901740828799
ATP8B4	79895	2.74308355034613e-20	6.65872717864504
XKRX	402415	2.85058818463452e-20	-1.26930496264314
EOMES	8320	3.61484166365278e-20	-2.39791084310237
CD36	948	4.12698031170872e-20	5.88199481618679
WWP1	11059	4.28504066418513e-20	-2.23591727312091
CD6	923	4.57746583241671e-20	-3.29495999571242
PLCG1	5335	4.73372342736468e-20	-4.03903932644355
KYNU	8942	6.04603345726808e-20	4.68630679694122
PGD	5226	6.07749686799771e-20	2.52335109108189
C5orf45	51149	7.06407438887338e-20	-1.41726719568389
CXCR5	643	7.19112049162436e-20	-2.05728098085405
CD40LG	959	7.19112049162436e-20	-3.99335641812953
GLA	2717	8.38385047157338e-20	2.20468594848084
RBL2	5934	9.21233167808526e-20	-2.00498878344305
GIMAP1-GIMAP5///GIMAP1	100527949///170575	1.26312081296032e-19	-3.6653317385083
GZMM	3004	1.47378425513695e-19	-1.36224791536507
ANKRD50	57182	1.53463645827713e-19	3.6470942896344
TGFBR3	7049	1.73742657494593e-19	-4.21767041757759
OCM///OCM2	654231///4951	1.95572020442954e-19	-1.58942028105334
CD68	968	2.22832240107366e-19	3.82982523499283
CYBRD1	79901	2.51470315969364e-19	4.61752880250259
COL24A1	255631	2.68044870148596e-19	2.58109725590865
		2.68044870148596e-19	-1.47996572505128
NR3C2	4306	2.96867213522582e-19	-3.43031784727252
TNFRSF25	8718	3.56094268950997e-19	-2.2549480257892
BST1	683	3.89703892656337e-19	3.69107994325686
HABP4	22927	4.66286398420935e-19	-2.38631933269035
PLAUR	5329	4.73414685066755e-19	3.11340414846263
CXCR6	10663	4.76999917808418e-19	-1.47854282038698
PRKXP1	441733	4.78271389092309e-19	-2.4270832499937
TFEC	22797	6.0009680470844e-19	5.19676617608573
SFI1	9814	6.01205083984065e-19	-1.4008219760788
LDLRAP1	26119	7.31533368026404e-19	-3.62476024447307
ANO9	338440	7.61790326618553e-19	-2.90461821015322
RAPGEF6	51735	9.52068028430085e-19	-1.5775656109874
SPATA6L	55064	1.03673633132266e-18	-1.15610437126726
WEE1	7465	1.06403669914152e-18	2.73589976780344
PATJ	10207	1.13592507563297e-18	-3.35537971005638
SNTB2	6645	1.22943800107259e-18	-2.15383845674866
NR1D2	9975	1.25732056666869e-18	-2.10264353810878
SPOCK2	9806	1.60919488200036e-18	-4.27884140451082
GIMAP7	168537	1.67135478013772e-18	-5.20936765462873
GRN	2896	1.70084282070422e-18	2.88351360503743
ERLIN1	10613	1.71729002273041e-18	2.81518185594264
KLRG1	10219	1.9480915340426e-18	-3.79826679670231
MGST1	4257	2.12969059805434e-18	4.75635596292736
LEPROTL1	23484	2.21218649326216e-18	-1.60605236142261
CD247	919	2.7683286001766e-18	-4.31792003193137
TTC9	23508	2.84921252222377e-18	-1.6725937599261
KLRB1	3820	2.96156298756158e-18	-4.07653484399308
SGTB	54557	2.99835383155138e-18	-2.36740221114104
SYNRG	11276	3.37886842424586e-18	-2.11070690428693
CXCL2	2920	4.88547189677683e-18	2.96244900401714
ANKZF1	55139	5.19193660523852e-18	-1.38945234024171
TPX2	22974	5.19193660523852e-18	3.15947631016703
TRPC2	7221	5.37851742489601e-18	2.26140245777267
TRIM4	89122	5.59910846145614e-18	-1.71289985800059
JADE2	23338	5.67829768719775e-18	-1.65412757393014
HIST1H1B	3009	6.57376720594509e-18	3.40453566947079
IL24	11009	6.69776418746586e-18	-1.18177775224192
SDR42E1	93517	7.46231634865476e-18	-2.4028301092016
KLRD1	3824	8.03537921561987e-18	-3.43764339500107
CRTAM	56253	8.71659574972668e-18	-2.59628893882405
ISY1-RAB43///RAB43	100534599///339122	1.05433695164518e-17	-2.16287271605799
MPP1	4354	1.15165300988888e-17	3.15187553787931
STMN1	3925	1.16088581935325e-17	2.0709699298789
BUB1B	701	1.16198997897433e-17	3.00989283950144
ACER1	125981	1.16198997897433e-17	-1.52284926636795
CHEK1	1111	1.24279801917711e-17	2.74347825461061
EMP1	2012	1.24279801917711e-17	4.42741042130712
MDS2	259283	1.2509752171428e-17	-1.67933761058636
GNA15	2769	1.3166187799045e-17	4.0328415604238
SEMA4F	10505	1.3173092003537e-17	-1.69719295612036
CDR2	1039	1.75230731712746e-17	-2.48293641221544
CD160	11126	1.75230731712746e-17	-2.1614805355071
CD27	939	2.01440023068702e-17	-4.93402081171214
SLC22A17	51310	2.09035571288185e-17	-1.47357138631054
SGMS2	166929	2.1364905568485e-17	3.25780550110791
GSN	2934	2.17350234812421e-17	3.69634608549713
H2AFY	9555	2.28026414264299e-17	1.82583701223163
RORA	6095	2.33254085780196e-17	-4.48096308148655
IKZF3	22806	2.43800777339857e-17	-4.26712901344434
KLHL32	114792	2.43899660548993e-17	-1.42814854075384
MAFG	4097	2.44132603297767e-17	2.45951994734569
ZNF540	163255	2.51498217108952e-17	-1.7452427988124
HGD	3081	2.61714853545534e-17	-1.10628069560788
KLF4	9314	2.63637056343684e-17	3.88538509714298
		2.64731778684514e-17	-1.74647325077843
TRMT2B	79979	2.66008284744787e-17	-1.25803232506118
MORN3	283385	3.47024219507926e-17	-1.22720558237245
PRRG4	79056	4.05662110501499e-17	2.76446146791957
MCM2	4171	4.30848971428172e-17	2.12396949137939
CDC25B	994	5.29313849210068e-17	-2.218261461657
TTC12	54970	5.35102379688467e-17	-2.00755259156309
NR1D1	9572	5.41979014646256e-17	-1.3676762984292
GALNT7	51809	5.44561246770181e-17	1.77743972638737
HIST2H2AA4///HIST2H2AB///HIST2H2AC///HIST2H2AA3	723790///317772///8338///8337	6.95692207281986e-17	2.2774733912492
DEPTOR	64798	6.9722868916162e-17	3.68574707351037
RRP12	23223	7.1934392671051e-17	1.6904103552894
FLT3	2322	8.16995461658498e-17	6.11530053154431
BCL11B	64919	8.77546064718318e-17	-4.15471494978636
ANGPT1	284	8.93102393852196e-17	3.95830196488052
JADE3	9767	9.47519836388133e-17	2.11987677823193
NCK2	8440	1.07963970443617e-16	-2.38600345937634
PPIAL4C///PPIAL4A///PPIAL4G///PPIA	653598///653505///644591///5478	1.07963970443617e-16	-2.90323338390007
SGPP2	130367	1.08939444675536e-16	-1.64406612741429
STAB1	23166	1.13563078159181e-16	3.01434266021919
		1.16339497808507e-16	-2.17268834471521
MSRB3	253827	1.18195163449236e-16	4.22425843213528
ACTA2-AS1	100132116	1.32600127101627e-16	-1.91924744146394
SKAP1	8631	1.36762262334316e-16	-4.362122014229
		1.48107771730308e-16	-1.42238210177684
PRAM1	84106	1.48107771730308e-16	2.26031185083618
GPSM2	29899	1.654169871666e-16	2.78195066526651
LMO2	4005	1.94931752579625e-16	2.48699657993739
ABHD2	11057	2.04867680567128e-16	1.40984164706928
RASSF3	283349	2.14103430301008e-16	-2.1638719848032
TTC39B	158219	2.14103430301008e-16	-3.57604924369534
		2.28662266461725e-16	-1.93380941201102
NMT2	9397	2.33943698566542e-16	-3.164039561038
B3GNT5	84002	2.49651290123797e-16	4.98428746713015
CLU	1191	2.7087576376892e-16	3.20685169310231
CXCL8	3576	2.82274088760565e-16	4.65334637004227
RUSC2	9853	2.96498637162047e-16	1.79078640993533
TIMD4	91937	3.10256272715659e-16	-1.45169061270594
EPHA4	2043	3.11219190141188e-16	-3.47986453141074
LRRC25	126364	3.11262705663995e-16	1.95867362848168
MLLT6	4302	3.13536713530587e-16	-1.68297261343864
TMC6	11322	3.14865336726473e-16	-1.57415396312007
GZMA	3001	3.22006244583918e-16	-3.69364388495114
PPIAL4C///PPIAL4A///PPIAL4G///PPIA	653598///653505///644591///5478	3.63051500784696e-16	-1.41369367798373
PNKD	25953	3.85199660979842e-16	1.74439879117619
KCTD7	154881	3.85569501859719e-16	-2.19514927338183
METTL7A	25840	4.14525722291769e-16	3.4118432208398
TADA2B	93624	4.17298048754226e-16	-1.61619882567496
		4.17298048754226e-16	-2.18215496815649
ZAP70	7535	4.60657022605212e-16	-3.83208326860359
CD300E	342510	4.62653284713338e-16	2.18521323801794
CST3	1471	4.70379692047154e-16	2.98327463708629
ADAM17	6868	4.70379692047154e-16	1.5324340332303
CCR4	1233	5.08614690608585e-16	-4.30946620257434
MIR24-2	407013	5.71643859495328e-16	2.56158775094968
SPI1	6688	5.87409858014217e-16	2.84249273106399
MSH5-SAPCD1///MSH5	100532732///4439	6.58720985310557e-16	1.68989504245101
ZBTB14	7541	6.63222026131764e-16	-2.01374090193142
CENPU	79682	6.80922110331391e-16	2.50613190000407
FES	2242	7.07309612737041e-16	2.61233861669235
NUAK2	81788	7.36549248872353e-16	-2.11976850075213
MPZL1	9019	7.36549248872353e-16	2.35382146341748
ITGA9	3680	7.70012133972012e-16	3.3231722708012
CYB561D1	284613	7.70012133972012e-16	-1.6420642195932
SMC4	10051	8.25710037592399e-16	1.69587276876982
PIK3IP1	113791	9.25066394645724e-16	-3.73328388489122
TNIP3	79931	9.25066394645724e-16	-1.25006493570961
		9.41993244184671e-16	-0.738772391761207
LY9	4063	9.76461206682052e-16	-3.54675139375264
HCAR3	8843	9.84873533740959e-16	2.7771485126098
IL13RA1	3597	1.00641566267558e-15	4.46627186199455
TRIB1	10221	1.02532513247652e-15	3.48728274525775
ZBTB25	7597	1.0355054610105e-15	-2.00184746718718
MIR23A	407010	1.0915135184262e-15	2.00426097651873
SYNE2	23224	1.10637755909663e-15	-4.65146892329715
TNFAIP2	7127	1.14289138462444e-15	2.83510914654842
FAM134B	54463	1.19850739942795e-15	-3.75795607959412
S1PR1	1901	1.28690560735968e-15	-4.43890955966181
CNNM3	26505	1.33608512299662e-15	-1.18106372870974
IL11RA	3590	1.39610971701995e-15	-1.79947088556569
MCTP1	79772	1.39610971701995e-15	4.25795099364036
TBC1D10A	83874	1.40113777026003e-15	-1.94953068585348
LPCAT2	54947	1.45532036675905e-15	5.97179995375942
C10orf11	83938	1.46730637070092e-15	3.31739432308051
GPX1	2876	1.48428654303289e-15	2.55972294683904
NCAPG	64151	1.61929302915008e-15	3.36347978434984
TMEM144	55314	1.74058290463952e-15	2.90332068059084
EML4///ALK	27436///238	1.74224243766636e-15	-2.07347474244973
RINL	126432	1.82347424403458e-15	-1.02097478210059
ICOS	29851	1.86022523879195e-15	-4.73363488562949
MINK1	50488	1.9024548214211e-15	-1.64128551407689
		2.08873094995921e-15	2.8671906819247
S100Z	170591	2.09796328524218e-15	4.07905635039282
SLC29A1	2030	2.12931052813754e-15	2.62685366338691
MALT1	10892	2.2812824092791e-15	-2.27285744545058
		2.31655723027275e-15	4.18990909517563
SYTL2	54843	2.32390309398699e-15	-2.60325699352499
PPP2R5C	5527	2.39432647506887e-15	-2.22324680163725
FAM69A	388650	2.41500775757241e-15	-3.46373760533875
BCL11A	53335	2.4157319106584e-15	4.00280338470162
MIR27A	407018	2.45386468583048e-15	1.89663250357035
IRF5	3663	2.4719470300521e-15	2.21246974183145
NLRC3	197358	2.50288677975848e-15	-2.17810165480003
LRRK2	120892	2.64702353555741e-15	2.49380228939663
CAMK2N1	55450	2.6620844254352e-15	-2.12032684386794
GVINP1	387751	2.66948456688325e-15	-3.55527254697586
TECPR1	25851	2.67909476288325e-15	-1.21717275404842
FCN1	2219	2.87908479586345e-15	2.70617091024451
ITGAX	3687	3.00049757781599e-15	2.6708115433902
ANLN	54443	3.0644628614031e-15	2.88730147149404
RNASE3	6037	3.11810836270036e-15	3.46012019483836
OCM///OCM2	654231///4951	3.19685465341666e-15	-2.3658678530727
IGF2BP2	10644	3.21891249455374e-15	3.82317936432354
CD163	9332	3.56873664573378e-15	3.0958404436189
MARCH9	92979	3.6877082289344e-15	-1.7066719683081
MS4A6A	64231	3.77274114670267e-15	3.40137462654754
STK3	6788	3.81113197830357e-15	1.87630997524943
MCUB	55013	3.96508183676848e-15	-3.44631016901229
RCAN3	11123	3.97926158657686e-15	-3.04932944812761
DPP4	1803	4.07399849698149e-15	-4.34168136351032
TALDO1	6888	4.08089925230366e-15	1.94237395425487
BRCA2	675	4.22838738235493e-15	2.43882454784708
SLFN12L	100506736	4.42030238834953e-15	-3.41382181676065
IRAK3	11213	4.46038352579731e-15	6.21949260859614
BACH1	571	4.65270209845342e-15	1.54501647491759
FCMR	9214	4.74666989143475e-15	-4.50062805836968
EPHX2	2053	4.84050105597414e-15	-3.55469470829008
NAP1L2	4674	4.85820171251721e-15	-2.53952539622691
GPR155	151556	4.8987483105016e-15	-3.64229161108476
FANCA	2175	4.96408925712974e-15	1.68085773632091
MAP7	9053	5.02964090008123e-15	2.6051863374422
TSEN54	283989	5.24827066356208e-15	-1.16309597703114
HMGB3	3149	5.28684654790698e-15	2.00743136390864
E2F3	1871	5.53622355410526e-15	1.57417300490634
CDC45	8318	5.72654580360489e-15	2.35611397247297
PYGL	5836	5.83397660003878e-15	5.45300823847513
TNRC6C	57690	5.85070331844641e-15	-2.46283623584205
KPNA2	3838	6.0372994433714e-15	1.94154855492813
LINC01089	338799	6.36859881138475e-15	-1.81818143433262
MAFG	4097	6.43923996790591e-15	2.04815742603489
PLIN3	10226	6.53963065878331e-15	1.648492374263
RNASE2	6036	7.13416206815643e-15	6.00070422570862
MNDA	4332	7.22509624155268e-15	4.25989186039241
LINC01588	283551	7.28345243634642e-15	-1.33961406650389
MKI67	4288	7.59766411305004e-15	2.60163850736998
MIR221	407006	7.60716082396211e-15	3.32955303955158
CPA3	1359	7.66182058498461e-15	4.19834267292155
GOLGA7B	401647	7.97192434165393e-15	-1.55186798406219
		8.24600005062358e-15	-1.65528769236102
MSX2P1	55545	8.58939081231145e-15	-1.55986731137368
NUSAP1	51203	9.00975621421562e-15	2.59949161231043
FAM134C	162427	9.00975621421562e-15	-1.31726408359749
ZNF211	10520	9.00975621421562e-15	-1.46409632547818
TCN2	6948	9.13073140624571e-15	1.71420009153007
CPVL	54504	9.43746351848899e-15	3.84804706360088
KIT	3815	9.43746351848899e-15	5.47158359215371
IL32	9235	9.44030596477394e-15	-4.03074115638648
RAB31	11031	9.48160060357852e-15	4.6760349896365
TOP2A	7153	9.72329451873433e-15	3.06541902032864
ST6GAL1	6480	1.00365678331098e-14	-2.42310889801531
SPTLC2	9517	1.06011012794251e-14	1.77003292140687
RAD51AP1	10635	1.06847437519144e-14	2.61940836703033
MCM4	4173	1.10049349834489e-14	2.07793691214317
SPIN3	169981	1.16816022509855e-14	-1.86048566337569
HIST1H3B	8358	1.21046194582589e-14	2.61611578470285
		1.25315712894267e-14	-1.35759005086146
PBX4	80714	1.31982627905082e-14	-1.91168538302958
CERS3	204219	1.32505222833521e-14	-1.19929688072223
TLR4	7099	1.32505222833521e-14	4.44540958723943
CPXM1	56265	1.32505222833521e-14	4.16416272768858
CORO1B///PTPRCAP	57175///5790	1.37119109031652e-14	1.4755045365479
CAMK4	814	1.40749906927205e-14	-5.46732785739123
RASGRP1	10125	1.44781810310803e-14	-5.38958196069096
NUGGC	389643	1.50537214303943e-14	-1.78810140440822
KLRC4-KLRK1	100528032	1.51753708841544e-14	-3.2636571134219
NCR3	259197	1.53800001317234e-14	-1.70600513205919
LOC105370792	105370792	1.61606920260337e-14	-1.1770066675806
CHKA	1119	1.67102187062883e-14	2.122879944771
MS4A14///MS4A7	84689///58475	1.67102187062883e-14	2.62611674069665
NLRP3	114548	1.697306311336e-14	3.58759448034263
YWHAE	7531	1.72063357248061e-14	2.00483965490646
VNN1	8876	1.7672354456425e-14	3.15549903302229
DPH7///DPH7	92715///92715	1.80050045900724e-14	-0.959129588114827
IQGAP3	128239	1.81438519724946e-14	1.77577074948132
HCAR2	338442	1.91839025734915e-14	2.68168514956922
ATP6V0E2-AS1	401431	2.1454548464528e-14	-1.4599538948399
NMRK1	54981	2.1454548464528e-14	-2.37403734154383
FAM159A	348378	2.3237982537309e-14	-2.51115540765527
EVL	51466	2.36374651652242e-14	-2.63160008161444
		2.37565393455235e-14	-0.896592474638159
CDK5R1	8851	2.42868208222486e-14	-1.25105333037419
EMILIN2	84034	2.50395393943603e-14	2.8868259279671
NEFL	4747	2.73807128968726e-14	-1.46383922935185
IL3RA	3563	2.80169687514088e-14	2.97358629259077
MPO	4353	2.80169687514088e-14	6.30320468728536
SPNS2	124976	2.91070323999431e-14	1.89492614098922
KLRC2	3822	3.1219915865567e-14	-1.78195064013905
ATP6V1A	523	3.13402510269219e-14	2.00751379653623
THEMIS	387357	3.13402510269219e-14	-5.68935992637912
SCARB1	949	3.23231680338164e-14	2.34081722623514
CD300C	10871	3.25736941822616e-14	1.90375578445128
PPP4R1	9989	3.25736941822616e-14	1.37907999056784
SIRPB2	284759	3.28081065687611e-14	2.87761580921216
GUCY1A3	2982	3.71851927487681e-14	4.95624463046192
TM4SF1	4071	3.80560290380976e-14	2.79865824610091
SOX4	6659	3.99200398461917e-14	2.70924433493757
GCNT4	51301	4.10953469216735e-14	-4.42242986010642
NFE2	4778	4.12151354466436e-14	3.26898124271773
		4.12996989433188e-14	-1.91458231138039
RAD21L1///SNPH	642636///9751	4.14827522279164e-14	-0.973872627503355
SEC16B	89866	4.26098429230191e-14	0.974448301532798
CD8A	925	4.48948577539059e-14	-3.83686759528059
NIPSNAP3A	25934	4.81971258523004e-14	2.00690176664412
GCC2	9648	5.01389277332371e-14	-1.43367645809895
IPCEF1///CNKSR3	26034///154043	5.02737654972874e-14	-4.2016410410367
GIMAP4	55303	5.10729298868834e-14	-4.42391252602942
ZNF365	22891	5.18029357313921e-14	-0.630141275471337
DMXL2	23312	5.27661419735422e-14	3.50845361777501
ARSG	22901	5.45215213002056e-14	-2.27038633788317
PCSK5	5125	5.47464933070515e-14	-2.40195941968244
HCK	3055	5.47508823530494e-14	3.68917018360387
MTERF4	130916	5.47508823530494e-14	-1.38661739511031
CD300LF	146722	5.50907394131961e-14	2.74748663062029
MAF	4094	5.59209643974845e-14	-2.09054892677576
CDK6	1021	5.698490050519e-14	2.13540173722955
GNLY	10578	5.72290259990252e-14	-3.88537285215719
CTAGE8///CTAGE4///CTAGE11P///CTAGE9///CTAGE15///CTAGE6///CTAGE1///CTAGE5	100142659///100128553///647288///643854///441294///340307///64693///4253	5.94908124159539e-14	-1.01181989328555
LINC01128	643837	6.84837872082234e-14	-1.8623470066672
GIN1	54826	6.84880561618182e-14	-1.99809244159787
