Gene.symbol	Gene.ID	adj.P.Val	logFC
		0.000142085673854526	-1.76538973018448
C3AR1	719	0.000142085673854526	4.03635264472565
CAMLG	819	0.000145951226353282	-1.80679688391634
CD163	9332	0.000150354918199321	3.15868269456405
OSCAR	126014	0.000150354918199321	1.5497783295884
RASGRP3	25780	0.000154978443159413	3.06265364937026
ZNF385D	79750	0.000170540503415217	-1.86948615607353
		0.000170540503415217	1.69582533450033
HAVCR2	84868	0.00017381897184522	2.67128240315932
TLR8	51311	0.000191255726981995	2.35817053007811
FIGN	55137	0.000198648585844956	-1.22081324958317
SSPN	8082	0.000201997566713338	-2.27209393464428
LRRC25	126364	0.000202310788989885	1.88256915996536
		0.000210713699352967	-2.59537917096307
C2orf27B///C2orf27A	408029///29798	0.000224996678707435	-1.45651019911552
MNDA	4332	0.00024095258953925	4.30194694287516
DTX3	196403	0.000247699260898985	-1.89044004814134
		0.000250716244444393	-1.78055435263627
		0.000250716244444393	-1.33894129381372
DMRTC1B///FAM226B///FAM226A///DMRTC1	728656///653687///203429///63947	0.000263196587199542	-1.20988182444787
RGAG4	340526	0.000270698253371712	-1.45339816917141
		0.000301885106168907	-1.87879939237043
ATP11A	23250	0.000303055189531253	2.02648519285474
PLAUR	5329	0.000303055189531253	2.63832730706961
DCUN1D1	54165	0.000305187545453989	2.20635144178105
ABO	28	0.000308588737911011	-1.95847407638954
TADA2B	93624	0.000310759475233737	1.5258893089567
		0.000321763296214084	-1.91246005011225
		0.000325033998417225	1.99111857956896
UCHL1	7345	0.000325966013714022	-2.40538621425131
P2RY13	53829	0.000333437090745765	2.68750973831945
MPL	4352	0.000333437090745765	-1.69368447122614
VWDE	221806	0.000333437090745765	-3.76137965630572
HMGN2	3151	0.000337332603327098	1.61604777313595
LRP1	4035	0.000368410901949413	2.53450648995376
ELAC2///HMGA2///HMGA2	60528///8091///8091	0.000368410901949413	-2.19976745906748
ECRP///ECRP	643332///643332	0.000383865837085204	4.24845205581895
		0.000408669748732042	-1.19176778003137
		0.000454525440719311	1.5767375780366
		0.000482802721654091	-1.53956772492876
PRR15	222171	0.000482802721654091	-1.85163846885898
BORCS6	54785	0.000482802721654091	-0.994409030724837
SULT1C4	27233	0.000494150054755836	-1.54297661002108
EIF4A3	9775	0.00054710784878691	1.54845252085703
VWDE	221806	0.000555216184992842	-3.99605300585899
RASSF6	166824	0.000562633356613456	-1.73419396447385
		0.000583066944625643	-1.32830917413742
SNORD115-27	100036564	0.000603999488670286	-0.695731291668627
ARF1	375	0.000603999488670286	0.982252658958823
CD300E	342510	0.000609482187325646	1.99029511847843
CCDC59	29080	0.000609482187325646	1.9538259267268
		0.000638304125487439	-1.09610515813758
TCN2	6948	0.000648947158331129	1.6444327632232
		0.000659901898958552	-2.6487658185634
ITGAM	3684	0.000659901898958552	3.01849784760081
MECOM	2122	0.000676452269606902	-2.74181339861716
CD86	942	0.000681447681469187	3.30967555595507
		0.00069190451326136	3.3576396917848
MEG3	55384	0.000718724290458337	-2.15612338104624
HMGN2	3151	0.000718724290458337	1.33344660081144
L3MBTL4	91133	0.00072476662844662	-3.19060442614052
PMM2	5373	0.00072476662844662	1.44396557052402
OPA3	80207	0.000729896760365128	0.854437751341341
TCTEX1D1	200132	0.000753042726423058	-3.67136866650474
ARMCX2	9823	0.000768881089787236	-1.50790091493464
DNAH5	1767	0.000789544074835525	-0.532681102935458
		0.00080728261368036	-1.05234215938039
LARP7///ZGRF1///LARP7	51574///55345///51574	0.00081199037977008	1.71892402192549
NUDT10	170685	0.000847248379962852	-1.40313344881405
		0.000855953241552065	-2.07334091828105
MYOF	26509	0.000865682273257928	3.17184513486847
OR52N5	390075	0.000868176498453428	-0.891468665969117
SPAG5	10615	0.00086948113681802	2.15825011307157
CLDN15	24146	0.000888215466030224	-1.15849480011372
ETV2	2116	0.000912949752735777	0.97736244386487
KYNU	8942	0.000912949752735777	3.60526188801013
		0.000912949752735777	1.89838554238987
PRO2012	55478	0.000931200774027237	-3.50029286234575
TMEM246	84302	0.00100179081848688	-1.2334759421451
ZNF214	7761	0.00100201378233241	-0.931809017605555
		0.00100201378233241	-2.19197507096177
ZNF300	91975	0.00103085334973421	-2.25796296071618
CCDC3	83643	0.00104010451785091	1.54534693927157
TPD52L2	7165	0.00105224615604447	1.45914622712108
FAM65C	140876	0.00105302999715739	-1.76245940861634
MLX	6945	0.00107730928876753	1.3924868838165
EIF3J-AS1	645212	0.00110005391909999	-1.52708614498448
		0.00110624944913779	-1.03797412847369
CD300C	10871	0.00113440600113103	1.80432723881356
TAF5L	27097	0.00113643143331189	1.02185197558873
PCYT1B	9468	0.00113643143331189	-2.14318257299968
TMEM91	641649	0.00115808974027068	-1.36231165912059
		0.00117474519673641	-1.19242924114935
LY6G5C	80741	0.0012117280018219	0.951058126935783
		0.00127951698488488	-1.62341517949673
		0.00127951698488488	-1.88267635749869
SPINK2	6691	0.00130698889222416	-3.2545426523652
EIF5AL1///EIF5A	143244///1984	0.00130698889222416	2.02320925064771
ARMCX1	51309	0.00130698889222416	-2.53043174475637
PTPN18	26469	0.00131533244125853	2.14889861696454
ZNF132	7691	0.00132308448212319	-1.48462611719543
ELOVL7	79993	0.00133461285994719	-3.31866999325719
		0.00133461285994719	-1.47372230574967
		0.00139629131130438	-1.27598946366667
TMEM98	26022	0.00139629131130438	-2.28754852687843
SULF2	55959	0.00139629131130438	2.69089946423104
CDADC1	81602	0.00140750071913764	-1.67077205910409
SMARCA1	6594	0.00140750071913764	-2.75239938054265
		0.00140750071913764	-1.67446934062712
MAN2B1	4125	0.00140750071913764	1.93214145440948
AQR	9716	0.00144016023816132	0.902720952971569
		0.00146115201333522	1.57955347126863
		0.00148239676428044	-1.63112964310915
		0.00150254468545557	1.14357781053921
NDUFA10	4705	0.00151149258576622	-0.887567093065522
POTEF///POTEJ///POTEM///POTEE///POTEKP	728378///653781///641455///445582///440915	0.00152105781588502	1.66778891514706
THRB	7068	0.00152319713120575	-1.95710948271732
GRN	2896	0.00154423307626396	2.24843510688235
DOT1L	84444	0.00155350772898803	1.15816216561307
COPE	11316	0.00155371792942626	1.08636713540784
DHX29	54505	0.00156344004497692	1.37337557458382
SRGAP2D///SRGAP2C///SRGAP2B///SRGAP2	100996712///653464///647135///23380	0.00157828294642373	1.93858508417206
NCR1	9437	0.00162129141888495	-1.35506579041078
HCAR2	338442	0.00166608426773603	2.4463554507969
ARHGAP22	58504	0.00166608426773603	-1.70030369557238
LOC400464	400464	0.0016672009286405	-1.82575913828627
LTBP3	4054	0.00168573863012925	-2.01961370617337
PTX3	5806	0.00174874506167723	2.10666286909036
		0.00174874506167723	-1.46851712265327
		0.00177226500679372	-1.19650834141421
CLEC9A	283420	0.00177314528188781	-2.28130317485768
HTR1F	3355	0.00177314528188781	-4.08348546506193
		0.00178025835252854	1.50713458428938
ATG3	64422	0.00180610410014674	0.972906746438561
TAPT1-AS1	202020	0.00180610410014674	-1.59222213858742
		0.00180610410014674	-0.56890342823366
KPNA6	23633	0.00181098107640971	1.33340822898088
SERGEF	26297	0.00182096100212369	-1.55909626898186
ANAPC15	25906	0.00182765028740127	1.86813848723905
		0.00185172908764534	-1.34062888135457
TOP2A	7153	0.00188379343034454	2.73199269438088
ITGAX	3687	0.00189591162715619	2.32579381304706
		0.00190864915079035	1.57075079970588
NCF2	4688	0.00191570888422625	3.7942276666049
NPR3	4883	0.00194370338558313	-2.93678933486389
IL13RA1	3597	0.00198965493176905	3.79813264948088
ZNF706	51123	0.00200565444774538	-1.66705571671128
LINC00893	100131434	0.00203899735078547	-2.26237961624542
STAB1	23166	0.00207217015716626	2.4603031387719
ZNF165	7718	0.00209440622957934	-1.44794190562908
NICN1	84276	0.00213185014772654	-1.12077019823137
GPR84	53831	0.00213185014772654	1.95530289872778
		0.0021689788930061	-1.44373030864673
BAALC-AS2	157556	0.0021689788930061	-1.05079657908693
		0.0021689788930061	-0.934316532446566
RBPMS	11030	0.0021689788930061	-2.03783945115964
		0.00217260635663453	-3.03951481661781
		0.00221372260309998	-1.82136965144444
FEZ2	9637	0.00223745892232952	1.22994885233644
DPP3	10072	0.00223745892232952	1.46024082990049
REC8	9985	0.00223745892232952	-2.32454346551683
ZKSCAN1	7586	0.00225885952634323	-1.50773214091389
CLEC12B	387837	0.00230021910953441	2.7767532095518
RIC3	79608	0.00245226938394548	-1.17043129082222
MS4A14///MS4A7	84689///58475	0.00246489056342402	2.31910002565605
FIG4	9896	0.00248891753709367	1.60216384096422
		0.00248891753709367	-0.714806484568627
C1orf132///MIR29C	100128537///407026	0.00248891753709367	-2.48365774891961
TRAK2	66008	0.00249185947613602	2.20702763526765
BHLHA9	727857	0.00249185947613602	1.73019675457484
PSME3	10197	0.00250328835941199	1.34136894718922
CD36	948	0.00250328835941199	4.17934684967173
PGM5P2///PGM5	595135///5239	0.00251982208764385	-2.14738117439771
PBX1	5087	0.00253296145099567	-4.1959161594701
JAM2	58494	0.00253296145099567	-1.9664011179116
TOM1	10043	0.00258673669600354	1.18249087180066
		0.00267427868742997	-1.30982330781291
MIRLET7I	406891	0.00267600191094841	-1.42930529666895
PLPP6	403313	0.00272472663422604	1.46978583310229
		0.00272472663422604	-1.85456444375866
IGF2R	3482	0.00272809162362107	2.10874989761144
		0.00274808047361626	-1.30335711884085
		0.00276033396650788	-1.24390144555098
PLK4	10733	0.00279643271895026	1.97850426009003
		0.00279643271895026	-1.4469506050469
RNASE6	6039	0.00283142710038697	3.49885653425408
		0.00291442156310759	-1.61667518747174
MARCH1	55016	0.00293521086073384	2.3915159908902
		0.00297365621216205	1.53111822178301
CSF2RA	1438	0.0029765650134067	2.25186264502713
PTPRJ	5795	0.00300473640592008	2.80223680663987
ACTB	60	0.00304876522796933	1.20679473316667
CEBPD	1052	0.00316255111967158	1.9963619771634
MAMDC2	256691	0.00316999753724899	-1.75936617524624
MIRLET7C	406885	0.00320715966520892	-0.777058420862091
ST6GALNAC4	27090	0.00320715966520892	1.66329243895163
		0.00328898142197428	-0.599356368579084
		0.00344837440658549	-1.62337475552614
ABHD5	51099	0.00348530697085686	2.0782590725732
BAG4	9530	0.00351385411380445	1.15451301367206
VCAN	1462	0.00351586867270296	4.50657670366046
		0.00355291142117072	-1.62456821401454
LINC01560	203414	0.00355291142117072	-1.86663340717108
FAF2	23197	0.00355291142117072	1.44925850488693
UNC119	9094	0.00355304226743821	1.16884673743056
		0.00359119449932582	-2.89903474056651
USF1	7391	0.00359119449932582	1.17654461799575
RNASE3	6037	0.00363445701689954	2.87023260867336
		0.0036552945535588	2.73917444511667
		0.0036552945535588	1.31207480159183
VCAM1	7412	0.00378159897170803	1.15205377693431
		0.00387288423637911	0.735144019934637
		0.00389150953944094	-0.643401588931046
TRO	7216	0.0039206299686578	-1.9496886997817
		0.00394067370408627	-1.65449017788007
RAB8A	4218	0.00398653811576047	1.23805659222663
STAC3	246329	0.00399152010420997	1.6878641147433
CA13	377677	0.00399152010420997	-1.70456340971912
		0.00410980742158147	1.48439265991928
		0.00414400069532018	-2.48765575207761
NOL12	79159	0.00414400069532018	0.852723195468628
NR1H3	10062	0.00419913032180002	-1.30934369166879
		0.00424634307608548	-1.42266660489542
		0.00428592386406203	1.11511225983039
LRRC70	100130733	0.00433505280285675	-2.70362363223775
AZI2	64343	0.00438580567971966	1.62647344285441
		0.00440054842373597	-1.48106715727778
PBXIP1	57326	0.00441564377382028	-1.93164657776111
MICU3	286097	0.00455819731767271	-2.1544772516232
OBSCN	84033	0.00458353497566688	-1.05242099067598
		0.00458353497566688	0.952729725723368
		0.00458353497566688	0.621939218673207
MIRLET7D	406886	0.00460936462034454	-1.48027613210376
		0.00460936462034454	-1.21907576570899
NUDT11	55190	0.00460936462034454	-3.17332940749902
WARS	7453	0.00460936462034454	2.47372002722304
HSPB11	51668	0.00460936462034454	1.28216100453938
TGFBI	7045	0.00460936462034454	2.08233991178186
		0.00461127526868781	1.08373449937418
IQGAP3	128239	0.00462356107797398	1.49379113614395
STK33	65975	0.00462940542856766	-2.80675889032075
ARHGAP11B	89839	0.00462940542856766	2.33108211253481
ZNF404	342908	0.00462940542856766	-1.76163824033023
EMCN	51705	0.00462940542856766	-2.34869971851144
CD68	968	0.00462940542856766	2.65607992838562
		0.00464662477439973	-1.56325708370327
GABPB2	126626	0.00469279250176615	1.43757735666307
ASAP1	50807	0.00469830207218441	2.51419768173611
		0.0047140514997549	-1.38725470630392
GPR173	54328	0.00473487671556936	-1.15330680299019
		0.00473487671556936	-2.38875449353546
PAPSS2	9060	0.00473487671556936	1.68573807782549
CCR1	1230	0.00473986828330597	2.47955538492958
		0.00473986828330597	-1.25521175941438
RPGR	6103	0.00475994980893598	-1.21281225762206
CDCP1	64866	0.00480415010226972	-2.00869876809298
GAPDH	2597	0.0048869865064799	0.820170263418301
KCNQ1	3784	0.0048869865064799	1.33373028191536
GPR183	1880	0.0048869865064799	3.36096389491716
BROX	148362	0.00495640138811821	1.15478228831699
PHLDA1	22822	0.00502654762649696	2.29777685060359
VSIG4	11326	0.00506405631181457	1.83190169327271
		0.00517080851503694	-1.61380999589853
FCGR2C///FCGR2B	9103///2213	0.00521106130458354	3.59016355765343
CLPB	81570	0.00527860007207192	1.29589122752026
		0.00527860007207192	-1.08565810293807
VWA2	340706	0.00529561661554069	-1.19459292571585
		0.00529919104320572	-1.05905273694412
MAFB	9935	0.00529919104320572	2.32238535158382
GBF1	8729	0.00530189053605627	0.891582032926961
SRGAP2C///SRGAP2B///SRGAP2	653464///647135///23380	0.00533285135516912	1.7303193694317
		0.00536846328639712	-1.99375672576291
ARMC4	55130	0.00538659708266564	-1.55758652355539
NPR3	4883	0.00539224998942834	-2.50710289663137
FCER1G	2207	0.00547057274413444	3.73962148691078
SETBP1	26040	0.00552883828334706	-2.08766370269134
TMEM163	81615	0.00553546471384822	-2.60481874575964
USP6	9098	0.00564031342961085	-0.951510786730065
ANLN	54443	0.00564031342961085	2.30354026106797
ACTG1	71	0.00564403360221885	0.857392771058825
SLC7A5	8140	0.00564403360221885	2.03727923106144
ELL	8178	0.00569476815732788	1.00080492417239
QSOX1	5768	0.00570074617228564	2.17345501578987
LUC7L	55692	0.0058237335817465	-0.994370449397224
ARHGAP19-SLIT1///ARHGAP19	100533184///84986	0.00597035180870822	1.61957782806356
BBS9	27241	0.00599086078157278	-1.6937591801652
SRGAP2	23380	0.00606634125592423	2.00146398586078
SPPL2B	56928	0.0060726229939472	-1.37552232389543
FAM107B	83641	0.0060757874725415	2.8267551187183
CTSB	1508	0.00621661656997822	1.99859345293121
		0.00621661656997822	-1.05405658321895
KIF11	3832	0.00621661656997822	2.18487532666209
		0.00621661656997822	-1.73884808762484
AATBC	284837	0.00629022092365715	1.07136868180229
NBPF25P///NBPF19///NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF12///NBPF3///NBPF1///NBPF14	101929780///101060226///100288142///100132406///728841///400818///284565///200030///149013///84224///55672///25832	0.00629022092365715	-1.45674012820784
TRIB1	10221	0.00632003012558703	2.69950298915262
		0.00637925251644639	-0.819300708554902
BANF1	8815	0.00651732550320199	1.48812041966977
CNKSR1	10256	0.00651732550320199	-0.81549782208219
		0.00655679264393685	-1.16444570248758
		0.00655822475619514	-1.00786295628905
MAGED2	10916	0.00655822475619514	-1.64960575285539
WDR17	116966	0.00655822475619514	-2.43771098147925
CDKN2C	1031	0.00658463575669672	1.86204744240082
CD1D	912	0.00672382489166141	2.00474534760572
		0.00676298565362114	-1.23505831056324
		0.00679460248798081	1.54883039109739
		0.00682361711203881	1.81380291220016
LOC100131826	100131826	0.0069520362516711	-2.32518733791585
PDE3B	5140	0.00704731527126446	3.03489287609494
THBS1	7057	0.00711049638261114	3.79627375795115
RNPEP	6051	0.00711049638261114	1.30733725674853
SPIN2B///SPIN2A	474343///54466	0.00711049638261114	-1.10892856951944
		0.00711049638261114	-1.24223737921568
FBN1	2200	0.00716431165241846	-2.21228883792402
		0.00719563443670421	-1.09676736042827
PFDN2	5202	0.0072483087040224	0.860055648964704
HCAR3	8843	0.0072483087040224	2.12164808708922
TMTC2	160335	0.0072483087040224	2.15580168686307
SNX30	401548	0.0072483087040224	1.63150635502451
TXNDC15	79770	0.0072634891933839	-1.20943628668676
		0.00728650438295276	0.576551372408495
KIAA0513	9764	0.00728650438295276	1.53471219267762
		0.00728650438295276	1.45772579234461
		0.00728650438295276	-1.40200156800621
E2F4	1874	0.00728650438295276	1.11857192837418
		0.00728650438295276	-1.63346635892647
		0.00728650438295276	1.75588226431209
HSPA12A	259217	0.00730039473891961	0.847581862925
EXOSC10	5394	0.00743447945926338	1.35954396563268
IGF1R	3480	0.0074510946491563	-2.54880956869445
		0.0074510946491563	-0.817235029633336
KMT5A	387893	0.00746398833708041	1.1969173381018
STRA13	201254	0.00752748954521603	0.939912549820916
POLR2J	5439	0.00752748954521603	1.26968665982337
CD300LB	124599	0.00754600116996408	1.51633289555801
FPR3	2359	0.00755794674452423	1.23781904623252
ZNF204P	7754	0.0075743049819262	-1.50674137839641
		0.00758165222855929	-0.982318042044934
SGMS2	166929	0.0076018719248242	2.31617666312435
NT5DC3	51559	0.0076018719248242	2.28565870777925
C10orf10	11067	0.0076018719248242	-2.93302579516128
TNFRSF1B	7133	0.00760910201801237	2.66100090768317
TUBB	203068	0.00763393484917015	1.09967818275491
ATP9A	10079	0.00763393484917015	-2.65869488650196
LRRC23	10233	0.00763393484917015	-0.936060893201308
		0.00763393484917015	-1.75829808700114
NRG4	145957	0.00770108668445921	2.95328809480997
PDZD3	79849	0.00774744420693825	0.84897349922304
		0.00774744420693825	-1.29274281407532
RCOR1	23186	0.00774744420693825	0.986263303745423
PLB1	151056	0.00787105897267448	1.24657628372941
MRPS15	64960	0.00787105897267448	1.45612188497435
		0.00788946928366908	-1.35409996576699
HMOX1	3162	0.00794599512499179	1.78038562128219
TCEAL2	140597	0.00801822451026327	-1.15197670430849
FADS6	283985	0.00802190461353699	0.776987813904904
TYROBP	7305	0.00806702048182912	2.78662484456945
SGK1	6446	0.00809328881201538	2.54410573373873
SWSAP1	126074	0.00820014541112198	-0.857932477519117
REEP5	7905	0.00825160318299427	2.32502303382925
		0.00826570843348486	-1.3792779936219
		0.00828145550565323	-1.11242776904837
		0.00831615592394591	2.08674995914542
MASTL	84930	0.00836309734256479	1.88861151629918
DENND1A	57706	0.00839374877661534	1.11031650475931
MMP28	79148	0.00841342216735574	-1.06807674308627
TBC1D3I///TBC1D3E///LOC101060389///TBC1D3L///TBC1D3K///TBC1D3G///TBC1D3H///TBC1D3///TBC1D3P2///TBC1D3C///TBC1D3B///TBC1D3F	102724862///102723859///101060389///101060376///101060351///101060321///729877///729873///440452///414060///414059///84218	0.00842905384052159	-1.85758701902484
		0.00842905384052159	-1.27868268836406
MS4A4A	51338	0.00844639235417803	2.20673918608579
		0.00848343218466273	-1.92287928938399
TEKT2	27285	0.00848877588929921	-0.870217443458007
KIF20B	9585	0.00850415633363264	1.72931128673562
		0.00850415633363264	-2.05941160922059
IL12RB2	3595	0.00850415633363264	-4.03498572112647
CCS	9973	0.00850415633363264	-1.04421913082941
LCP1	3936	0.00858655365128256	1.08852981268954
RAPGEF3	10411	0.00861795810135843	-1.1560635511915
		0.00865142129463775	0.914942543869278
KIF1C	10749	0.00865142129463775	1.36808520141618
CROCCP3	114819	0.00878016930721443	-0.890479699798528
		0.00878016930721443	-1.72789514295458
LOC441204	441204	0.00878016930721443	-1.23917919935572
		0.00878016930721443	1.36141722226732
STAG3L5P-PVRIG2P-PILRB///STAG3L2///STAG3L3///STAG3L1///STAG3	101752399///442582///442578///54441///10734	0.00894425826473555	-1.20176455277418
SIRPA	140885	0.00894425826473555	2.03606986509787
DAGLA	747	0.00894425826473555	1.10867929201716
		0.00894425826473555	-1.39149614369477
SEC23B	10483	0.00894425826473555	0.908022048349834
LIF	3976	0.00894425826473555	0.979424493675327
POLR2K	5440	0.00894425826473555	1.31740878336765
DPPA2	151871	0.00911368146928264	-0.841121969354739
THNSL2	55258	0.00913663085943774	-0.895473439850655
FANCD2	2177	0.00915854841830318	1.76402475893072
MAK	4117	0.00921947280226251	-0.770736610695754
TOR1AIP2	163590	0.00924901277612619	1.30700917504297
KCNA6	3742	0.00924901277612619	-1.11134622505245
		0.00924901277612619	-1.80167653584886
MYO9B	4650	0.00941357942142489	1.13470616038202
BHLHB9///BHLHB9	80823///80823	0.00948291545290911	-1.4710199261018
SERPINE2	5270	0.00948291545290911	-2.95350333638644
RAB40C	57799	0.00948291545290911	0.769716415501144
TMEM30A	55754	0.00948291545290911	1.20298360403334
SCAND2P	54581	0.00957652802289748	-0.878028788986437
		0.00959844490691678	-1.11943134116961
ARG2	384	0.00961318215322846	-2.30276881368497
		0.00968930337923417	-1.14059838047124
ALDOA	226	0.00968930337923417	1.0461628301348
LOC731157	731157	0.0096960828682545	-1.53769077158039
LYRM4	57128	0.00970037944097455	1.18685550273758
PADI4	23569	0.00971794099018249	1.54641814396552
		0.00977355402876062	1.08481119023023
		0.00981201741941173	-0.965165603585295
ECEL1P2	347694	0.0100732692163822	-0.991635588942157
ASGR2	433	0.0100732692163822	1.21302538486618
NOD2	64127	0.0100766602938272	1.4759947375165
		0.0100993086260912	-1.25514574302304
ZNF687	57592	0.0102033681088255	1.01379275410327
